"Poraba obnovljivih virov energije in odpadkov (TJ), Slovenija, letno"

"ENERGETSKI VIR","2002 Konèna raba","2003 Konèna raba","2004 Konèna raba","2005 Konèna raba","2006 Konèna raba","2007 Konèna raba","2008 Konèna raba","2009 Konèna raba","2010 Konèna raba","2011 Konèna raba","2012 Konèna raba","2013 Konèna raba","2014 Konèna raba","2015 Konèna raba","2016 Konèna raba","2017 Konèna raba","2018 Konèna raba"
"Geotermalna in toplota iz okolice (TJ)",-,-,-,-,-,-,-,265.000,1078.000,1167.000,1237.000,1410.000,1486.000,1589.000,1832.000,2003.030,2045.030
"Solarna termièna (TJ)",-,-,-,-,-,-,-,319.000,341.000,374.000,409.000,437.000,452.000,456.000,458.000,458.000,457.000
"Industrijski odpadki - neobnovljivi (TJ)",0.000,327.000,409.000,516.000,649.000,512.000,591.000,804.000,954.000,964.000,1017.000,1143.000,1488.000,1472.000,1519.000,1764.273,2120.481
"Komunalni odpadki - obnovljivi (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Komunalni odpadki - neobnovljivi (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Les in druga trdna biomasa (TJ)",16578.000,17676.000,17940.000,18345.000,17545.000,16977.000,16710.000,23544.000,24122.000,23900.000,22846.000,23917.000,20545.000,22521.000,23297.000,22252.458,20639.177
"Šota (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Deponijski plin (TJ)",36.000,35.000,41.000,42.000,52.000,61.000,65.000,64.000,61.000,59.000,59.000,62.000,57.000,44.000,33.000,18.720,21.086
"Plin iz èistilnih naprav (TJ)",20.000,13.000,24.000,19.000,28.000,12.000,60.000,16.000,35.000,30.000,27.000,20.000,15.000,20.000,20.000,15.131,24.093
"Drugi bioplini (TJ)",-,-,-,-,8.000,77.000,58.000,7.000,11.000,12.000,14.000,14.000,15.000,15.000,15.000,18.348,16.236
"Biodizel (TJ)",-,-,-,-,171.000,545.000,932.000,1169.000,1752.000,1312.000,1919.000,2201.000,1528.000,975.000,606.000,871.646,2762.474
"Biobencin (TJ)",-,-,-,-,-,33.000,99.000,104.000,163.000,206.000,258.000,306.000,329.000,277.000,178.000,144.477,326.382
